"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"neos-3699377-maori","easy","17233","1856","0","15377","5587","125895","Jeff Linderoth","neos-pseudoapplication-3","135877.224265","decomposition numerics variable_bound mixed_binary"
"neos-3703351-marne","easy","8827","1382","0","7445","4123","55293","Jeff Linderoth","neos-pseudoapplication-3","317056.210386","decomposition numerics variable_bound mixed_binary"
"neos-3709489-menik","easy","48005","31506","15424","1075","59587","199272","Jeff Linderoth","neos-pseudoapplication-44","Unbounded","aggregations precedence variable_bound set_packing set_covering cardinality invariant_knapsack binpacking mixed_binary general_linear"
"neos-3734794-moppy","easy","4418","1760","154","2504","4317","22430","Jeff Linderoth","neos-pseudoapplication-25","5900905694.59","decomposition numerics precedence variable_bound set_packing invariant_knapsack mixed_binary general_linear"
"neos-3740487-motru","open","1689612","75566","0","1614046","4936372","26433474","Jeff Linderoth","neos-pseudoapplication-61","164.4691736839999*","precedence variable_bound set_partitioning set_packing invariant_knapsack binpacking knapsack mixed_binary"
"neos-3754224-navua","open","150228","3574","0","146654","232387","652974","Jeff Linderoth","neos-pseudoapplication-83","157909.0677610051*","numerics aggregations precedence variable_bound set_partitioning mixed_binary"
"neos-3754480-nidda","hard","253","50","0","203","402","1488","Jeff Linderoth","neos-pseudoapplication-107","12941.73838561778","benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary"
"neos-3755335-nizao","easy","40938","5226","0","35712","111026","547794","Jeff Linderoth","neos-pseudoapplication-61","50.0301565326","benchmark_suitable precedence variable_bound set_partitioning set_packing invariant_knapsack binpacking knapsack mixed_binary"
"neos-3759587-noosa","easy","27029","4289","0","22740","72104","318169","Jeff Linderoth","neos-pseudoapplication-61","48.334467769","benchmark_suitable precedence variable_bound set_partitioning set_packing invariant_knapsack binpacking knapsack mixed_binary"
"neos-3761878-oglio","easy","6489","1312","0","5177","3871","35511","Jeff Linderoth","neos-pseudoapplication-3","422769.02254","decomposition numerics variable_bound mixed_binary"
"neos-3762025-ognon","easy","4673","948","0","3725","2784","25384","Jeff Linderoth","neos-pseudoapplication-3","607171.5030499999","decomposition numerics variable_bound mixed_binary"
"neos-3988577-wolgan","easy","25870","25870","0","0","44662","350350","Hans Mittelmann","neos-pseudoapplication-64","Infeasible","benchmark infeasible binary decomposition benchmark_suitable precedence set_packing cardinality invariant_knapsack binpacking knapsack"
"neos-4165869-wannon","hard","31728","480","31248","0","85865","270474","Hans Mittelmann","neos-pseudoapplication-44","293","precedence variable_bound set_partitioning set_packing invariant_knapsack integer_knapsack general_linear"
"neos-4230265-orari","open","32980","13380","10","19590","76374","189026","Jeff Linderoth","neos-pseudoapplication-57","81765.21022354232*","numerics aggregations precedence variable_bound set_covering invariant_knapsack mixed_binary general_linear"
"neos-4232544-orira","open","87060","38280","5700","43080","180600","492456","Jeff Linderoth","neos-pseudoapplication-57","17540506.0*","numerics aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack integer_knapsack mixed_binary general_linear"
"neos-4260495-otere","easy","176048","168745","22","7281","295357","702986","Jeff Linderoth","neos-pseudoapplication-30","5290","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary general_linear"
"neos-4264598-oueme","open","54550","13370","0","41180","54714","191146","Jeff Linderoth","neos-pseudoapplication-57","6038453.676499*","numerics aggregations precedence variable_bound invariant_knapsack mixed_binary general_linear"
"neos-4285819-pedja","open","721438","686647","0","34791","1518618","4866058","Jeff Linderoth","neos-pseudoapplication-79","89.50319072956324*","numerics aggregations precedence variable_bound set_partitioning invariant_knapsack mixed_binary"
"neos-4290317-perth","open","54708","1042","0","53666","65580","398380","Jeff Linderoth","neos-pseudoapplication-76","3017259.469804598*","decomposition numerics aggregations precedence variable_bound mixed_binary"
"neos-4292145-piako","open","32950","13370","0","19580","75834","190186","Jeff Linderoth","neos-pseudoapplication-57","29160.50026450142*","aggregations precedence variable_bound invariant_knapsack mixed_binary general_linear"
"neos-4295773-pissa","hard","85126","85124","0","2","210116","552408","Jeff Linderoth","neos-pseudoapplication-6","0.03830719099856019","decomposition aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack mixed_binary"
"neos-4300652-rahue","hard","33003","20900","0","12103","76992","183616","Jeff Linderoth","neos-pseudoapplication-13","2.1416","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality knapsack mixed_binary"
"neos-4306827-ravan","easy","162291","155368","285","6638","261877","639474","Jeff Linderoth","neos-pseudoapplication-30","10186.57303874958","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"neos-4321076-ruwer","hard","361730","122","0","361608","509809","1265750","Jeff Linderoth","neos-pseudoapplication-98","2135.200000000028","aggregations variable_bound cardinality mixed_binary"
"neos-4322846-ryton","easy","108700","108699","0","1","104972","452044","Jeff Linderoth","neos-pseudoapplication-6","0.41984836","decomposition benchmark_suitable aggregations precedence set_partitioning cardinality binpacking knapsack mixed_binary"
"neos-4332801-seret","easy","20682487","20677405","20","5062","19912111","47513027","Jeff Linderoth","neos-pseudoapplication-28","279835.50495","aggregations precedence variable_bound set_partitioning set_covering cardinality binpacking knapsack mixed_binary general_linear"
"neos-4332810-sesia","easy","20682487","20677405","20","5062","19912111","47513027","Jeff Linderoth","neos-pseudoapplication-28","21849.762376","aggregations precedence variable_bound set_partitioning set_covering cardinality binpacking knapsack mixed_binary general_linear"
"neos-4333464-siret","easy","2731","1363","0","1368","2880","27710","Jeff Linderoth","neos-pseudoapplication-58","24.78581995155556","benchmark_suitable variable_bound binpacking mixed_binary"
"neos-4333596-skien","easy","1005","460","0","545","812","5811","Jeff Linderoth","neos-pseudoapplication-43","-14610731.01","benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality mixed_binary"
"neos-4335793-snake","hard","30827","20473","7865","2489","37166","129119","Jeff Linderoth","neos-pseudoapplication-44","27","numerics aggregations precedence variable_bound set_packing cardinality invariant_knapsack knapsack mixed_binary general_linear"
"neos-4338804-snowy","hard","1344","1260","42","42","1701","6342","Jeff Linderoth","neos-pseudoapplication-40","1471","benchmark benchmark_suitable precedence set_covering mixed_binary general_linear"
"neos-4343293-stony","hard","9400","4698","0","4702","10650","55668","Jeff Linderoth","neos-pseudoapplication-58","46.38468271624112","variable_bound binpacking mixed_binary"
"neos-4355351-swalm","open","21065","10530","0","10535","21609","371467","Jeff Linderoth","neos-pseudoapplication-58","33.45757454008309*","variable_bound binpacking mixed_binary"
"neos-4358725-tagus","open","11494","4898","0","6596","22777","59925","Jeff Linderoth","neos-pseudoapplication-57","4206.140099965*","numerics aggregations precedence variable_bound set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-4359986-taipa","easy","25130","25095","0","35","48864","126561","Jeff Linderoth","neos-pseudoapplication-106","69.79999999999997","benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary"
"neos-4360552-sangro","open","10272","9696","576","0","46012","302184","Hans Mittelmann","neos-pseudoapplication-62","-8.0*","decomposition precedence variable_bound set_packing set_covering cardinality invariant_knapsack equation_knapsack binpacking knapsack integer_knapsack general_linear"
"neos-4382714-ruvuma","easy","6562","6561","0","1","3645","32805","Hans Mittelmann","neos-pseudoapplication-103","Infeasible","infeasible binary feasibility benchmark_suitable set_partitioning"
"neos-4387871-tavua","hard","4004","2000","0","2004","4554","23496","Jeff Linderoth","neos-pseudoapplication-58","33.384729927","benchmark benchmark_suitable variable_bound binpacking mixed_binary"
"neos-4391920-timok","easy","93846","93786","0","60","184575","585839","Jeff Linderoth","neos-pseudoapplication-106","0.00545540819999822","benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary"
"neos-4393408-tinui","easy","4004","2000","0","2004","4554","23496","Jeff Linderoth","neos-pseudoapplication-58","375.49807237","benchmark_suitable variable_bound binpacking mixed_binary"
"neos-4408804-prosna","easy","66612","33306","0","33306","67161","266448","Hans Mittelmann","neos-pseudoapplication-56","1306","decomposition benchmark_suitable variable_bound set_partitioning mixed_binary"
"neos-4409277-trave","hard","14363","14362","0","1","7875","204518","Jeff Linderoth","neos-pseudoapplication-47","3","variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary"
"neos-4413714-turia","easy","190402","190201","0","201","2303","761756","Jeff Linderoth","neos-pseudoapplication-67","45.3701670199998","benchmark benchmark_suitable set_partitioning binpacking mixed_binary"
"neos-4477313-unzha","easy","2193","2016","0","177","4174","30400","Jeff Linderoth","neos-pseudoapplication-110","Unbounded","numerics set_partitioning mixed_binary"
"neos-4531126-vouga","open","169996","169996","0","0","7694","967980","Jeff Linderoth","neos-pseudoapplication-87","525030.8846192999*","binary decomposition numerics set_partitioning cardinality invariant_knapsack binpacking mixed_binary"
"neos-4532248-waihi","easy","86842","86841","0","1","167322","525339","Jeff Linderoth","neos-pseudoapplication-6","61.59999999999999","benchmark benchmark_suitable aggregations precedence set_partitioning cardinality binpacking knapsack mixed_binary"
"neos-4533806-waima","open","93318","93304","0","14","52983","1250570","Jeff Linderoth","neos-pseudoapplication-31","4870*","decomposition aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary"
"neos-4535459-waipa","open","961401","640000","0","321401","163001","256963402","Jeff Linderoth","neos-pseudoapplication-67","26040609.0*","precedence variable_bound set_partitioning mixed_binary"
"neos-4545615-waita","open","654950","654930","0","20","345152","10670186","Jeff Linderoth","neos-pseudoapplication-31","6311.0*","aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary"
"neos-4555749-wards","open","89147","89130","0","17","51776","1263377","Jeff Linderoth","neos-pseudoapplication-31","3759*","decomposition aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary"
"neos-4562542-watut","open","134705","134694","0","11","73746","2015543","Jeff Linderoth","neos-pseudoapplication-31","5684*","aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary"
"neos-4647027-thurso","open","9800","4200","0","5600","8382","3944988","Hans Mittelmann","neos-pseudoapplication-29","27407.32689999996*","set_packing mixed_binary"
"neos-4647030-tutaki","hard","12600","7000","0","5600","8382","3953388","Hans Mittelmann","neos-pseudoapplication-29","27265.70599999996","benchmark benchmark_suitable set_packing mixed_binary"
"neos-4647032-veleka","open","18200","12600","0","5600","8382","3970188","Hans Mittelmann","neos-pseudoapplication-29","27214.4801*","set_packing mixed_binary"
"neos-4650160-yukon","easy","1412","624","0","788","1969","6416","Jeff Linderoth","neos-pseudoapplication-79","59.88499998695507","benchmark_suitable aggregations precedence variable_bound set_partitioning set_covering knapsack mixed_binary"
"neos-4703857-ahuroa","easy","266502","133470","0","133032","221496","536040","Jeff Linderoth","neos-pseudoapplication-82","7868280750.275999","numerics aggregations variable_bound mixed_binary general_linear"
"neos-4722843-widden","easy","77723","73349","20","4354","113555","311529","Jeff Linderoth","neos-pseudoapplication-30","25009.662227","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking knapsack mixed_binary general_linear"
"neos-4724674-aorere","easy","94145","87022","22","7101","137123","376775","Jeff Linderoth","neos-pseudoapplication-30","8609.1960886","benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack binpacking knapsack mixed_binary general_linear"
"neos-4736745-arroux","easy","6216","1120","5096","0","1827","19281","Jeff Linderoth","neos-pseudoapplication-37","247345269.52","decomposition benchmark_suitable precedence set_partitioning set_packing knapsack integer_knapsack general_linear"
"neos-4738912-atrato","easy","6216","1120","5096","0","1947","19521","Jeff Linderoth","neos-pseudoapplication-37","283627956.595","benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing knapsack integer_knapsack general_linear"
"neos-4754521-awarau","easy","41680","41680","0","0","255386","1237481","Jeff Linderoth","neos-pseudoapplication-51","0","binary feasibility benchmark_suitable aggregations precedence cardinality invariant_knapsack binpacking"
"neos-4760493-puerua","easy","53593","53592","0","1","106954","266805","Hans Mittelmann","neos-pseudoapplication-106","2665.4577364","benchmark_suitable precedence variable_bound set_partitioning cardinality"
"neos-4763324-toguru","easy","53593","53592","0","1","106954","266805","Hans Mittelmann","neos-pseudoapplication-106","1613.03884585","benchmark benchmark_suitable precedence variable_bound set_partitioning cardinality"
"neos-4797081-pakoka","easy","12393","9930","2463","0","7147","456124","Hans Mittelmann","neos-pseudoapplication-51","0","feasibility benchmark_suitable precedence set_packing cardinality general_linear"
"neos-4805882-barwon","easy","22229","15809","18","6402","49386","117001","Jeff Linderoth","neos-pseudoapplication-30","3010","benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack binpacking knapsack mixed_binary general_linear"
"neos-480878","easy","534","189","0","345","1321","44370","NEOS Server Submission","neos-pseudoapplication-76","492.5144492879","benchmark_suitable variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"neos-4954274-beardy","hard","12865","12865","0","0","17359","140082","Jeff Linderoth","neos-pseudoapplication-62","20946.48","binary decomposition variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack binpacking knapsack"
"neos-4954340-beaury","easy","7850","2544","0","5306","20162","77435","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4954357-bednja","easy","3885","1231","0","2654","9641","49441","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4954672-berkel","hard","1533","630","0","903","1848","8007","Jeff Linderoth","neos-pseudoapplication-43","2612710","benchmark benchmark_suitable aggregations variable_bound mixed_binary"
"neos-4960896-besbre","easy","6149","1809","0","4340","14793","98690","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics precedence variable_bound set_packing mixed_binary"
"neos-4966126-blavet","easy","37885","2516","0","35369","109265","320933","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-4966258-blicks","easy","196788","6708","0","190080","270816","975084","Jeff Linderoth","neos-pseudoapplication-85","556","benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary"
"neos-4971100-bodrog","easy","11929","1980","0","9949","14998","97827","Jeff Linderoth","neos-pseudoapplication-20","-1.192092895508e-07","numerics aggregations precedence variable_bound mixed_binary"
"neos-4972437-bojana","easy","293268","8148","0","285120","408192","1746396","Jeff Linderoth","neos-pseudoapplication-85","427","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-4972461-bolong","easy","245028","7428","0","237600","341424","1456692","Jeff Linderoth","neos-pseudoapplication-85","534","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-4976951-bunnoo","easy","293268","8148","0","285120","408336","1746684","Jeff Linderoth","neos-pseudoapplication-85","454","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-4984115-canche","easy","268859","0","65","268794","180214","1351945","Jeff Linderoth","neos-pseudoapplication-69","-9946659.921","numerics aggregations variable_bound mixed_binary general_linear"
"neos-498623","easy","9861","8500","0","1361","2047","148434","NEOS Server Submission","neos-pseudoapplication-5","16.6","benchmark_suitable aggregations variable_bound set_partitioning set_packing mixed_binary general_linear"
"neos-5013590-toitoi","easy","27061","27060","0","1","53957","134480","Hans Mittelmann","neos-pseudoapplication-106","3772.4527499","benchmark_suitable precedence variable_bound set_partitioning cardinality"
"neos-5018451-chiese","easy","265713","1222","244","264247","170175","1249955","Jeff Linderoth","neos-pseudoapplication-69","-147988824.81","numerics aggregations variable_bound mixed_binary general_linear"
"neos-503737","easy","2850","2500","0","350","500","16850","NEOS Server Submission","neos-pseudoapplication-47","50","benchmark_suitable set_partitioning mixed_binary"
"neos-5041756-cobark","easy","60301","60000","0","301","30900","180900","Jeff Linderoth","neos-pseudoapplication-12","Unbounded","decomposition precedence variable_bound set_packing invariant_knapsack mixed_binary"
"neos-5041822-cockle","open","227668","149313","0","78355","546733","1362468","Jeff Linderoth","neos-pseudoapplication-25","5724245.704467608*","aggregations precedence variable_bound set_packing mixed_binary"
"neos-5044663-wairoa","open","63540","0","44513","19027","21479","538629","Hans Mittelmann","neos-pseudoapplication-53","4654500.0*","aggregations integer_knapsack general_linear"
"neos-5045105-creuse","open","3848","0","3780","68","252","23108","Jeff Linderoth","neos-pseudoapplication-78","20.57142909929996*","integer_knapsack general_linear"
"neos-5049753-cuanza","easy","242736","8304","0","234432","322248","1440672","Jeff Linderoth","neos-pseudoapplication-85","561.9999971689","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-5051588-culgoa","easy","3918","0","3780","138","4144","31728","Jeff Linderoth","neos-pseudoapplication-86","134.5","decomposition benchmark_suitable precedence variable_bound integer_knapsack general_linear"
"neos-5052403-cygnet","easy","32868","32868","0","0","38268","4898304","Jeff Linderoth","neos-pseudoapplication-100","182","benchmark binary benchmark_suitable set_covering invariant_knapsack"
"neos-5075914-elvire","easy","5003","2638","0","2365","3720","11440","Jeff Linderoth","neos-pseudoapplication-35","323.8387873868924","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-5076235-embley","hard","49686","98","0","49588","63112","1089564","Jeff Linderoth","neos-pseudoapplication-17","2362","decomposition benchmark_suitable aggregations mixed_binary"
"neos-5078479-escaut","easy","3471","1330","0","2141","3442","9062","Jeff Linderoth","neos-pseudoapplication-35","9682.338178668055","benchmark_suitable aggregations variable_bound mixed_binary"
"neos-5079731-flyers","easy","49686","98","0","49588","63112","1089564","Jeff Linderoth","neos-pseudoapplication-17","2439.999999949","decomposition benchmark_suitable aggregations mixed_binary"
"neos-5081619-ganges","easy","66432","7900","0","58532","187024","547574","Jeff Linderoth","neos-pseudoapplication-59","Unbounded","numerics aggregations precedence variable_bound set_packing mixed_binary"
"neos-5083528-gimone","easy","60315","4792","55509","14","617","384472","Jeff Linderoth","neos-pseudoapplication-67","0","feasibility benchmark_suitable set_partitioning cardinality integer_knapsack general_linear"
"neos-5093327-huahum","hard","40640","64","0","40576","51840","784768","Jeff Linderoth","neos-pseudoapplication-17","6259.999997125895","benchmark decomposition benchmark_suitable aggregations mixed_binary"
"neos-5100895-inster","easy","29400","56","0","29344","39760","693168","Jeff Linderoth","neos-pseudoapplication-17","3132","benchmark_suitable aggregations mixed_binary"
"neos-5102383-irwell","hard","51450","98","0","51352","65464","1213044","Jeff Linderoth","neos-pseudoapplication-17","2210","decomposition benchmark_suitable aggregations mixed_binary"
"neos-5104907-jarama","hard","345856","9520","0","336336","489818","2053548","Jeff Linderoth","neos-pseudoapplication-24","935","benchmark benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5106984-jizera","easy","470050","11410","0","458640","648984","2796682","Jeff Linderoth","neos-pseudoapplication-24","821","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5107597-kakapo","easy","3114","2976","0","138","6498","19392","Jeff Linderoth","neos-pseudoapplication-54","3644.99999999952","benchmark benchmark_suitable aggregations precedence mixed_binary"
"neos-5108386-kalang","easy","600880","12292","0","588588","849226","3585988","Jeff Linderoth","neos-pseudoapplication-104","729.9999999999998","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5114902-kasavu","hard","710164","14560","0","695604","961170","4240376","Jeff Linderoth","neos-pseudoapplication-104","655","benchmark benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-5115478-kaveri","easy","3114","2976","0","138","6498","19392","Jeff Linderoth","neos-pseudoapplication-54","1233.99999999096","numerics aggregations precedence mixed_binary"
"neos-5116085-kenana","easy","509236","12376","0","496860","690242","3032792","Jeff Linderoth","neos-pseudoapplication-24","602","benchmark_suitable variable_bound cardinality invariant_knapsack mixed_binary"
"neos-5118834-korana","easy","470050","11410","0","458640","649124","2796962","Jeff Linderoth","neos-pseudoapplication-24","757","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5118851-kowhai","easy","613152","14112","0","599040","859504","3643968","Jeff Linderoth","neos-pseudoapplication-104","1376","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5123665-limmat","easy","655522","13426","0","642096","904358","3911502","Jeff Linderoth","neos-pseudoapplication-104","730","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5125849-lopori","easy","8130","8040","90","0","453","20938","Jeff Linderoth","neos-pseudoapplication-42","0","feasibility benchmark_suitable aggregations set_partitioning set_packing equation_knapsack general_linear"
"neos-5129192-manaia","easy","164229","164229","0","0","531569","1599180","Jeff Linderoth","neos-pseudoapplication-51","0","binary feasibility benchmark_suitable precedence set_packing cardinality invariant_knapsack equation_knapsack binpacking mixed_binary"
"neos-5138690-middle","easy","562786","12418","0","550368","776608","3353966","Jeff Linderoth","neos-pseudoapplication-104","739","benchmark_suitable aggregations variable_bound set_partitioning cardinality invariant_knapsack mixed_binary"
"neos-5140963-mincio","easy","196","183","0","13","184","834","Jeff Linderoth","neos-pseudoapplication-109","14393","benchmark_suitable set_partitioning mixed_binary"
"neos-5149806-wieprz","easy","33753","33750","3","0","65380","502488","Hans Mittelmann","neos-pseudoapplication-15","21","benchmark_suitable precedence variable_bound set_packing set_covering binpacking"
"neos-5151569-mologa","open","108116","22230","0","85886","45671","517666","Jeff Linderoth","neos-pseudoapplication-82","686761063.8031197*","numerics aggregations set_packing mixed_binary"
"neos-5157194-moruya","easy","24557","13302","1681","9574","30175","9381778","Jeff Linderoth","neos-pseudoapplication-41","Infeasible","infeasible numerics aggregations variable_bound set_partitioning mixed_binary general_linear"
"neos-5178119-nalagi","easy","4167","4068","0","99","6921","74476","Jeff Linderoth","neos-pseudoapplication-62","22.73999999763","benchmark_suitable precedence set_partitioning set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary general_linear"
"neos-5182409-nasivi","easy","2005","1600","0","405","580","14884","Jeff Linderoth","neos-pseudoapplication-32","301.99999992","benchmark_suitable aggregations set_partitioning set_packing invariant_knapsack mixed_binary general_linear"
"neos-5188808-nattai","easy","14544","288","0","14256","29452","133686","Jeff Linderoth","neos-pseudoapplication-98","0.110283622999984","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality knapsack mixed_binary"
"neos-5189128-totara","open","36025","35640","0","385","213702","1012554","Hans Mittelmann","neos-pseudoapplication-101","6459882.26*","set_partitioning set_packing cardinality mixed_binary"
"neos-5192052-neckar","easy","180","24","0","156","57","545","Jeff Linderoth","neos-pseudoapplication-74","-11670000","invariant_knapsack mixed_binary"
"neos-5193246-nerang","easy","14546","9792","0","4754","42256","175794","Jeff Linderoth","neos-pseudoapplication-32","0.03821976217279999","benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack mixed_binary"
"neos-5195221-niemur","easy","14546","9792","0","4754","42256","176586","Jeff Linderoth","neos-pseudoapplication-32","0.0038354326","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack mixed_binary"
"neos-5196530-nuhaka","hard","14544","9792","0","4752","42124","171702","Jeff Linderoth","neos-pseudoapplication-32","0.006821675088566438","aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack knapsack mixed_binary"
"neos-520729","easy","91149","30708","0","60441","31178","322203","NEOS Server Submission","neos-pseudoapplication-50","-1385000.000166","numerics aggregations set_partitioning mixed_binary"
"neos-5221106-oparau","open","25445","25120","0","325","13897","245756","Hans Mittelmann","neos-pseudoapplication-46","55.5399999999997*","precedence variable_bound set_partitioning cardinality knapsack mixed_binary"
"neos-5223573-tarwin","hard","158244","190","0","158054","560182","2166505","Hans Mittelmann","neos-pseudoapplication-19","0.1058","feasibility aggregations variable_bound set_partitioning set_packing cardinality mixed_binary"
"neos-5251015-ogosta","hard","136971","232","0","136739","486531","1955388","Hans Mittelmann","neos-pseudoapplication-19","0.1058","feasibility aggregations variable_bound set_partitioning set_packing cardinality mixed_binary"
"neos-525149","easy","3640","3600","0","40","144120","1519200","NEOS Server Submission","neos-pseudoapplication-110","60.99999999106585","decomposition set_partitioning mixed_binary"
"neos-5260764-orauea","hard","12940","12580","0","360","12304","82620","Hans Mittelmann","neos-pseudoapplication-102","82593.16768840607","decomposition variable_bound set_partitioning cardinality binpacking knapsack mixed_binary"
"neos-5261882-treska","hard","2900","2730","0","170","2971","19342","Hans Mittelmann","neos-pseudoapplication-102","51614.874","decomposition precedence set_partitioning cardinality binpacking knapsack mixed_binary"
"neos-5266653-tugela","open","23310","22662","0","648","23458","171534","Hans Mittelmann","neos-pseudoapplication-102","65505.2005752763*","decomposition precedence set_partitioning cardinality binpacking knapsack mixed_binary"
"neos-5273874-yomtsa","hard","136971","232","0","136739","486492","1955349","Hans Mittelmann","neos-pseudoapplication-19","0","aggregations variable_bound set_partitioning set_packing cardinality mixed_binary"
"neos-555001","easy","3855","3782","73","0","3474","16649","NEOS Server Submission","neos-pseudoapplication-94","1210625","decomposition numerics aggregations precedence set_partitioning invariant_knapsack mixed_binary general_linear"
"neos-555343","easy","3815","3800","15","0","3326","16967","NEOS Server Submission","neos-pseudoapplication-15","1512800","decomposition benchmark_suitable aggregations precedence invariant_knapsack equation_knapsack binpacking mixed_binary general_linear"
"neos-555424","easy","3815","3800","15","0","2676","15667","NEOS Server Submission","neos-pseudoapplication-15","1286800","decomposition benchmark_suitable precedence invariant_knapsack equation_knapsack binpacking mixed_binary general_linear"
"neos-555884","easy","3815","3800","15","0","4331","19067","NEOS Server Submission","neos-pseudoapplication-32","1232700","decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality equation_knapsack binpacking mixed_binary general_linear"
"neos-565672","easy","190589","175361","0","15228","318334","809816","NEOS Server Submission","neos-pseudoapplication-82","90693.549539","numerics precedence variable_bound invariant_knapsack mixed_binary"
"neos-574665","easy","740","184","64","492","3790","16792","NEOS Server Submission","neos-pseudoapplication-78","5761665.2169","decomposition aggregations variable_bound set_covering invariant_knapsack integer_knapsack mixed_binary general_linear"
"neos-578379","easy","17010","17010","0","0","21703","101560","NEOS Server Submission","neos-pseudoapplication-42","0","binary feasibility benchmark_suitable aggregations variable_bound set_partitioning set_packing cardinality"
"neos-585192","easy","2597","1044","0","1553","2628","72396","NEOS Server Submission","neos-pseudoapplication-92","461.1797","numerics aggregations precedence variable_bound mixed_binary"
"neos-585467","easy","2116","846","0","1270","2166","50058","NEOS Server Submission","neos-pseudoapplication-92","399.3739","numerics aggregations precedence variable_bound mixed_binary"
"neos-595904","easy","4508","1148","0","3360","2452","22364","NEOS Server Submission","neos-pseudoapplication-43","64829.59","decomposition benchmark_suitable set_partitioning mixed_binary"
"neos-619167","easy","3452","400","0","3052","6800","20020","NEOS Server Submission","neos-pseudoapplication-83","1.664893618589958","decomposition numerics precedence variable_bound mixed_binary"
"neos-631517","easy","1090","859","0","231","351","2743","NEOS Server Submission","neos-pseudoapplication-70","11490666.665","benchmark_suitable aggregations set_partitioning mixed_binary"
"neos-631710","easy","167056","167056","0","0","169576","834166","NEOS Server Submission","neos-pseudoapplication-75","203","benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking"
"neos-633273","easy","11154","11154","0","0","21781","63910","NEOS Server Submission","neos-pseudoapplication-10","6996841097.99778","binary aggregations set_partitioning cardinality invariant_knapsack"
"neos-662469","easy","18235","17907","328","0","1085","200055","NEOS Server Submission","neos-pseudoapplication-73","184379.9999999999","benchmark benchmark_suitable variable_bound set_packing set_covering binpacking knapsack integer_knapsack general_linear"
